id,milestone,title,issueUrl
520,Block 3 Sprint 2 - 5/5/2017,"Create SkyRouterLink and SkyRouterLinkActive directives",https://github.com/blackbaud/skyux2/issues/520
519,no milestone,"Enable greenkeeper",https://github.com/blackbaud/skyux2/issues/519
518,no milestone,"Port over sectioned modal from SKY UX ",https://github.com/blackbaud/skyux2/issues/518
517,no milestone,"Add remaining font classes from SkyUX",https://github.com/blackbaud/skyux2/issues/517
516,no milestone,"Document Builder utilities",https://github.com/blackbaud/skyux2/issues/516
514,no milestone,"Modal wait",https://github.com/blackbaud/skyux2/issues/514
513,no milestone,"Allow for coverage gates to be set for skyux test from skyuxconfig.json",https://github.com/blackbaud/skyux2/issues/513
503,no milestone,"Modals opening and removing the scrollbar causes content behind the modal to shift",https://github.com/blackbaud/skyux2/issues/503
498,Block 3 Sprint 2 - 5/5/2017,"Add breadcrumb navigation to SKY UX 2 documentation site",https://github.com/blackbaud/skyux2/issues/498
497,no milestone,"Add search box to SKY UX 2 Components page",https://github.com/blackbaud/skyux2/issues/497
494,no milestone,"Tree view - find in tree",https://github.com/blackbaud/skyux2/issues/494
493,no milestone,"Tree view - complex multiselect cases",https://github.com/blackbaud/skyux2/issues/493
492,no milestone,"Tree view - MVP",https://github.com/blackbaud/skyux2/issues/492
491,no milestone,"Single file attachment",https://github.com/blackbaud/skyux2/issues/491
489,no milestone,"Need ability to specify size of modal",https://github.com/blackbaud/skyux2/issues/489
487,no milestone,"Wait visual regression tests fail on Windows",https://github.com/blackbaud/skyux2/issues/487
478,no milestone,"Focus not placed on modal when opening ",https://github.com/blackbaud/skyux2/issues/478
466,no milestone,"Review components documentation",https://github.com/blackbaud/skyux2/issues/466
465,no milestone,"Documentation around fat arrow functions",https://github.com/blackbaud/skyux2/issues/465
464,no milestone,"Documentation around Flexbox",https://github.com/blackbaud/skyux2/issues/464
463,no milestone,"Document integration with Auth service",https://github.com/blackbaud/skyux2/issues/463
460,no milestone,"Document future automated deployment strategy",https://github.com/blackbaud/skyux2/issues/460
459,no milestone,"Document using custom style sheets",https://github.com/blackbaud/skyux2/issues/459
458,no milestone,"Document connecting a project to a BFF/UIService",https://github.com/blackbaud/skyux2/issues/458
454,no milestone,"Document recommendations for dev machine setup",https://github.com/blackbaud/skyux2/issues/454
453,no milestone,"Document continuous integration layer",https://github.com/blackbaud/skyux2/issues/453
451,no milestone,"Document a model example of how to do a unit test",https://github.com/blackbaud/skyux2/issues/451
450,no milestone,"Document how to make web requests and best practices for observables.",https://github.com/blackbaud/skyux2/issues/450
449,no milestone,"Document best practice/recommendation for smaller, cohesive components.",https://github.com/blackbaud/skyux2/issues/449
448,no milestone,"Build mode should not affect auth/omnibar/help",https://github.com/blackbaud/skyux2/issues/448
447,no milestone,"Provide a method of configuring hash routing in easy mode",https://github.com/blackbaud/skyux2/issues/447
446,no milestone,"Allow overriding of boostrapping without requiring advanced mode",https://github.com/blackbaud/skyux2/issues/446
445,no milestone,"Add .nvmrc file to skyux-template",https://github.com/blackbaud/skyux2/issues/445
